"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"cimc_v01","name_only_not_geometry","F_CR001","true","changed","","","facilities/F_CR001"
"cimc_v01","node_position","N_CR_e4b47e7288","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_CR_e4b47e7288",""
"cimc_v01","node_translate","nodes/N_CR_e4b47e7288","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","road_translate","roads/R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","road_shapePoints","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_f3f8cfbf8b",""
"cimc_v01","node_rotate","nodes/N_CR_e4b47e7288","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","road_rotate","roads/R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","zone_boundary","Z_CR001","true","changed","","","zones/Z_CR001;sources/source_editor_geometry"
"cimc_v01","road_direction","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_f3f8cfbf8b",""
"cimc_v01","boundary","F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v01","boundary_translate","facilities/F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v01","boundary_rotate","facilities/F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v01","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","copy_boundary","facilities/F_CR001","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","delete_boundary","facilities/F_CR001","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","split_road","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","no_op_boundary","F_CR001","true","no_op","","",""
"cimc_v01","road_widthM_design_assumption","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_f3f8cfbf8b",""
"cimc_v01","road_heightLimitM_design_assumption","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_f3f8cfbf8b",""
"cimc_v01","road_massLimitKg_design_assumption","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_f3f8cfbf8b",""
"cimc_v01","road_speedLimitMps_design_assumption","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_f3f8cfbf8b",""
"cimc_v01","staticMove_expected_blocked","facilities/F_CR006","false","rejected","STATIC_SHARED_NODE","/nodes/N_CR_11733dacf7",""
"cimc_v02","name_only_not_geometry","F_CR001","true","changed","","","facilities/F_CR001"
"cimc_v02","node_position","N_CR_e6c5d9022b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_CR_e6c5d9022b",""
"cimc_v02","node_translate","nodes/N_CR_e6c5d9022b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","road_translate","roads/R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","road_shapePoints","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_50530d1b95",""
"cimc_v02","node_rotate","nodes/N_CR_e6c5d9022b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","road_rotate","roads/R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","zone_boundary","Z_CR001","true","changed","","","zones/Z_CR001;sources/source_editor_geometry"
"cimc_v02","road_direction","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_50530d1b95",""
"cimc_v02","boundary","F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v02","boundary_translate","facilities/F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v02","boundary_rotate","facilities/F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v02","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","copy_boundary","facilities/F_CR001","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","delete_boundary","facilities/F_CR001","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","split_road","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","no_op_boundary","F_CR001","true","no_op","","",""
"cimc_v02","road_widthM_design_assumption","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_50530d1b95",""
"cimc_v02","road_heightLimitM_design_assumption","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_50530d1b95",""
"cimc_v02","road_massLimitKg_design_assumption","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_50530d1b95",""
"cimc_v02","road_speedLimitMps_design_assumption","R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_CR_50530d1b95",""
