"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"cimc_v01","name_only_not_geometry","F_CR001","true","changed","","","facilities/F_CR001"
"cimc_v01","node_position","N_CR_e4b47e7288","true","changed","","","nodes/N_CR_e4b47e7288;roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/source_editor_geometry"
"cimc_v01","node_translate","nodes/N_CR_e4b47e7288","true","changed","","","nodes/N_CR_e4b47e7288;roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/source_editor_geometry"
"cimc_v01","road_translate","roads/R_CR_f3f8cfbf8b","true","changed","","","nodes/N_CR_33df6f0e08;nodes/N_CR_e4b47e7288;roads/R_CR_f3f8cfbf8b;roads/R_CR_7b77973d10;roads/R_CR_bcfd9b6e95;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;movements/M_CR_71a0fa3935;movements/M_CR_8ceabc7cbd;movements/M_CR_21c03888c1;movements/M_CR_34589ec264;movements/M_CR_a69e6e15ac;movements/M_CR_1943b8f3c1;movements/M_CR_d0024d23e3;movements/M_CR_592375ffa9;movements/M_CR_ca6b9063e9;movements/M_CR_6796434d90;movements/M_CR_7c355e2231;movements/M_CR_2856ec0b73;junctions/J_CR_33df6f0e08;junctions/J_CR_4919a843cd;junctions/J_CR_58611c2314;resources/RES_J_CR_33df6f0e08;resources/RES_J_CR_4919a843cd;resources/RES_J_CR_58611c2314;sources/source_editor_geometry"
"cimc_v01","road_shapePoints","R_CR_f3f8cfbf8b","true","changed","","","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/source_editor_geometry"
"cimc_v01","node_rotate","nodes/N_CR_e4b47e7288","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","road_rotate","roads/R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","zone_boundary","Z_CR001","true","changed","","","zones/Z_CR001;sources/source_editor_geometry"
"cimc_v01","road_direction","R_CR_f3f8cfbf8b","true","rejected","ARC_DIRECTION_CONFLICT","/movements/M_CR_537f521b70/outgoingArc;/movements/M_CR_5454c8a6f4/outgoingArc","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08"
"cimc_v01","boundary","F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v01","boundary_translate","facilities/F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v01","boundary_rotate","facilities/F_CR001","true","changed","","","facilities/F_CR001;sources/source_editor_geometry"
"cimc_v01","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","copy_boundary","facilities/F_CR001","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","delete_boundary","facilities/F_CR001","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","split_road","R_CR_f3f8cfbf8b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v01","no_op_boundary","F_CR001","true","no_op","","",""
"cimc_v01","road_widthM_design_assumption","R_CR_f3f8cfbf8b","true","changed","","","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/SRC_GA01_parameter_probe"
"cimc_v01","road_heightLimitM_design_assumption","R_CR_f3f8cfbf8b","true","changed","","","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/SRC_GA01_parameter_probe"
"cimc_v01","road_massLimitKg_design_assumption","R_CR_f3f8cfbf8b","true","changed","","","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/SRC_GA01_parameter_probe"
"cimc_v01","road_speedLimitMps_design_assumption","R_CR_f3f8cfbf8b","true","changed","","","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/SRC_GA01_parameter_probe"
"cimc_v01","road_width_speed_design_assumption","R_CR_f3f8cfbf8b","true","changed","","","roads/R_CR_f3f8cfbf8b;movements/M_CR_c4646caf63;movements/M_CR_fa559f3214;movements/M_CR_537f521b70;movements/M_CR_b7e5c3d6fe;movements/M_CR_5454c8a6f4;movements/M_CR_b610889257;junctions/J_CR_33df6f0e08;resources/RES_J_CR_33df6f0e08;sources/SRC_GA01_B_parameter_test"
"cimc_v01","staticMove_expected_blocked","facilities/F_CR006","false","rejected","STATIC_SHARED_NODE","/nodes/N_CR_11733dacf7",""
"cimc_v02","name_only_not_geometry","F_CR001","true","changed","","","facilities/F_CR001"
"cimc_v02","node_position","N_CR_e6c5d9022b","true","changed","","","nodes/N_CR_e6c5d9022b;roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/source_editor_geometry"
